Country,Subject_Descriptor,Units,Scale,CountrySeries-specific_Notes,2006,Estimates_Start_After
Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3702.09,2009
Comoros,"Gross domestic product, constant prices",National currency,Billions,Source: Planning Commissariat Latest actual data: 2010 National accounts manual used: GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Comorian francs Data last updated: 03/2012,125.16,2010
Comoros,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.24,2010
Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",658.65,2003
Democratic Republic of Congo,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2008 Notes: Data prior to 2001 cannot be confirmed by national sources at this time. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Congo francs Data last updated: 03/2012,386.39,2008
Democratic Republic of Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.58,2008
Democratic Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",140.95,1983
Republic of Congo,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,1138.00,2009
Republic of Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.24,2009
Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2244.92,2004
Costa Rica,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Base year: 1991 Chain-weighted: No Primary domestic currency: Costa Rican colones Data last updated: 03/2012,1891.70,2010
Costa Rica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.78,2010
Costa Rica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5173.93,2010
Côte d'Ivoire,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Economy Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,7485.18,2011
Côte d'Ivoire,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.73,2011
Côte d'Ivoire,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",888.27,2009
Croatia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Formally, the Central Bureau of Statistics of the Republic of Croatia (CroStat) Latest actual data: 2011. For quarterly data, latest actual is 2011Q4. Notes: National account statistics for 1995?2008 were revised in 2009. Under the new ESA95 methodology, revised data include estimates for the ""gray economy,"" imputed dwelling rates, and financial intermediation services indirectly measured (FISIM). National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Croatian kunas Data last updated: 03/2012",232.49,2011
Croatia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.94,2011
Croatia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11234.77,2010
Cyprus,"Gross domestic product, constant prices",National currency,Billions,"Source: Eurostat Latest actual data: 2010 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1995 Primary domestic currency: Euros Data last updated: 03/2012",13.96,2010
Cyprus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.13,2010
Cyprus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",24035.64,2010
Czech Republic,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1995 Primary domestic currency: Czech koruny Data last updated: 03/2012",3334.82,2011
Czech Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.02,2011
Czech Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",14474.00,2010
Denmark,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1980 Primary domestic currency: Danish kroner Data last updated: 04/2012",1597.71,2011
Denmark,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.40,2011
Denmark,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",50553.52,2011
Djibouti,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 1999 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Djibouti francs Data last updated: 04/2012,81.46,1999
Djibouti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.82,1999
Djibouti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1029.54,0
Dominica,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. In addition, note that real GDP is mreasured at factor cost and Nominal GDP is emasured at market prices. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollars Data last updated: 03/2012",0.86,2010
Dominica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.64,2010
Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5461.15,2010
